Right,Wrong 
Deep Inelastic Pion Electroproduction at Threshold,Considering a Measurement of the B-model: The BV Formalism
The Casimir Effect for Thin Plasma Sheets and the Role of the Surface Plasmons,On Integrable Hierarchies on the Moduli Space of Spin(6) Orbifolds of Hyperbolic Klebanov-Strassler Backgrounds
Exotic Polarizations of D2 Branes and Oblique Vacua of (S)YM$_{2+1}$,Orientifold Planes vs Clebsch-Gordon Decomposition
New Flavor Interactions at the LHC,"A Test of RS1 From Conformal Blocks in 9+1-dimensional TQFTs, Integrability in F-Theory, and a Hybrid Condensate Model of Instanton Gas"
Fun With Higgsless Theories,Discrete Representation Theory Using a Measurement of the N=n-dual of QCD Models With Dions
Area Spectrum and Quasinormal Modes of Black Holes,A Check of Dark Matter at $\Lambda_{QCD}$ in the Analytic Continuation of Localization in Warped Models
Simulation of Z Plus Graviton/Unparticle Production at the LHC,Invasion of Analyticity in Spin From a M-fold
Towards Precise Predictions for the Higgsstrahlung at a Linear Collider,Comments on Models of Cosmic Rays
Tau Polarisation and Its Correlations as a Signal for Higgs Bosons - Universal Spin Interface for TAUOLA Package,Quasi-open Inflation During Inflation
An Obvious Isospin Breaking Correction to Epsilon' of Kinematical Origin,From Some Little-known Computations of the Neutrino S-matrix to Hypersurface Defects
Geometrical Aspects of BRST Cohomology in Augmented Superfield Formalism,Towards Some General Frameworks of a Certain Notion of Chaos
Giants on Deformed Backgrounds Part II: The Gauge Field Fluctuations,Generalizing Noncommutative Branes Wrapping a dS_7 to All Orders: A Supersymmetric Technique
Analytical Results for String Propagation Near a Kaluza-Klein Black Hole,Towards a T-dual of Impossible Gravity
Next-to-next-to-leading Order QCD Analysis of the Revised CCFR Data for xF_3 Structure Function and the Higher Twist Contributions,Nonvanishing Divisors Found From Type-1 Factors
Coherent QCD Phenomena in the Coherent Pion-Nucleon and Pion-Nucleus Production of Two Jets at High Relative Momenta,A Two-sided Black Brane Formed From Collapse to All Orders
Unitarity and Real Properties of the Neutral Meson Complex,Cosmon Approaches to the Flavor Problem
On SO(32) Heterotic - Type I Superstring Duality in Ten Dimensions,Anomaly Constraints in Lattice Models With Anyons
"ZFITTER: A Semi-analytical Program for Fermion Pair Production in E+e- Annihilation, From Version 6.21 to Version 6.42",Models of Higgses
Azimuthal and Single Spin Asymmetry in Deep-inelastic Lepton-nucleon Scattering,Charges on a Line Bundle Over M Copies of R^n Reexamined
T-violation Tests for Relativity Principles,From Trivial Dual-superconformal Symmetric Structure to Non-abelian Clebsch-Gordon Decomposition
Confinement-deconfinement Order Parameter and Dirac's Quantization Condition,The World as General Violation of Poincare Invariance
Yangians in Deformed Super Yang-Mills Theories,Quantum Approaches to the Flavor Problem
On B_s -> Mu+ Mu- and Cold Dark Matter Scattering in the MSSM With Non-Universal Higgs Masses,Models of WIMPs From Tensor Networks on the Surface of the Sun
On Heavy Quarks Photoproduction and C -> D* Fragmentation Functions,Higgses
Conformal Turbulence With Boundary,A Test of a RS Hierarchy Using Dark Energy in Our Solar System
Spin Effects in Heavy Quark Processes,The Extension of Duality in Topological String Theory and Monopoles
Variation of Radiation Length Due to LPM Effect,A Resolution of the Little Hierarchy Problem
Low-Energy Signatures of Semi-perturbative Unification,Vortex Equations on P^4
On Modeling the Scalar Meson Dynamics With Resonance Chiral Theory,Duality on T^5 and a Massive Black Hole Formed From Collapse to All Orders
Compton Effect in Dielectric Medium,A Check of Heterotic String Theory Dimensionally Reduced on P^4 Bundles Over Einstein Superspace Using String Theory Near Instantons in the Lithium Problem
Some Aspects of the Quark-antiquark Wilson Loop Formalism in the NRQCD Framework,Charginos in Noncommutative Instantons
Constituent Quark and Diquark Properties From Small Angle Proton-proton Elastic Scattering at High Energies,Discussing Electric-duality in a Model of Spacetime Foam: A Transverse Conjecture
Verifying the Kugo-Ojima Confinement Criterion in Landau Gauge Yang-Mills Theory,B-type Branes at the Center of the Galaxy and Electric-duality in a Model for Inertial Fluctuations
"Coisotropic Branes, Noncommutativity, and the Mirror Correspondence",Ghosts
Analysis of Wave Equations for Spin-1 Particles Interacting With an Electromagnetic Field,Firewalls at the Planck Scale
Dark Energy in Extra Dimensions and String Theory: Consistency Conditions,Analyticity in Spin Minimizes an Instanton at the Weak Scale
The No-ghost Theorem for String Theory in Curved Backgrounds With a Flat Timelike Direction,Entanglement of Purification Is Not Enough
Investigation of the Nicole Model,On Extremal Black Branes
Neutrino Properties,Black Branes Formed From Collapse as Models of Black Branes
Remarks on the History of Quantum Chromodynamics,The Little Hierarchy Problem
Aspects of Quasi-Phasestructure of the Schwinger Model on a Cylinder With Broken Chiral Symmetry,The Diffractive Gross-Neveu Model
Higgs Physics at Future Colliders: Recent Theoretical Developments,Minimal Approaches to the Hierarchy Problem
Explicit Cancellation of Triangles in One-loop Gravity Amplitudes,Bounds on Soft Radiation and Excitations
A Classification of Near-horizon Geometries of Extremal Vacuum Black Holes,Reviewing Special Lagrangian Instantons: A Non-gaussian Approach
Supersymmetric Brane-Worlds,The Partition Function Catastrophe
Probing Quintessence With Time Variation of Couplings,The JT Gravity/Nekrosov-Heisenberg Mechanics Correspondence
New Anomalous Exchange in Regge Phenomenology and Hard Diffraction,Entropic Approaches to the Lithium Problem
Phenomenology of the Triplet Seesaw Mechanism With Gauge and Yukawa Mediation of SUSY Breaking,Progress in NCFTs Deformed by 'T Hooft Lines
Gauge Fields Out-Of-Equilibrium: A Gauge Invariant Formulation and the Coulomb Gauge,Modular Forms on a Line Bundle Over S^7 as Anomalies
SUSY Les Houches Accord 2 I/O Made Easy,Localization vs Some General Computations of IR Behavior
Moduli and (Un)attractor Black Hole Thermodynamics,Remarks on a Certain Notion of Anomaly Matching
One-loop Self Energies at Finite Temperature,Flow Equations in F-Theory in Condensates After Reheating
Extra Dimensions: A View From the Top,A Certain Notion of Harmonic Analysis
Anticommutators and Propagators of Moyal Star-products for Dirac Field on Noncommutative Spacetime,U-duality in a Singular Nonsingular Large-N Model for Dark Energy
The Four-Loop Konishi in N=4 SYM,"A Probe of Trivial Representation Theory (Excluding a Test of a Du Val Singularity in the CMB) and Sheaf Cohomology on a \Z^m Bundle Over a H_5(R^9,\Z) Bundle Over Manifolds With Non-abelian Monodromy"
On Theoretical Uncertainties of the W Angular Distribution in W-Pair Production at LEP2 Energies,General Line Bundles
Quantum Jacobi-Trudi and Giambelli Formulae for $U_q(B_r^{(1)})$ From Analytic Bethe Ansatz,Towards Integrability on CY_4
Classical R-Matrices and the Feigin-Odesskii Algebra via Hamiltonian and Poisson Reductions,Hyperplane Defects at $\Lambda_{QCD}$ as Complexity in the CMB
Stability and Thermodynamics of AdS Black Holes With Scalar Hair,Instanton Liquids at $\Lambda_{QCD}$ and Cosmon Fluctuations in the CMB
On Principal Admissible Representations and Conformal Field Theory,NS5 Branes on the Surface of the Sun
SUSY Gauge Theories and Whitham Integrable Systems From Compactification and SUSY Breaking,From Large Logarithms in an Invertible Matrix Model on Moduli Spaces of 6 Copies of R^5 to a Resolution of the Fine-tuning Problem
Racetrack Inflation and Cosmic Strings,Progress in Instanton Liquids Models With Pions
Distributive Laws and the Koszulness,T-duality in M-Theory on C^n
The Complex of Solutions of the Nested Bethe Ansatz. The A_2 Spin Chain,Symplectic Quotients in Conformal Jackiw-Teitelboim Gravity vs the Crossing Equation
Symmetries and Symmetry Breaking,A Holographic-dual of a N=2 Matrix Model Surrounded by Firewalls
Resonances in Weak Nonleptonic Omega^- Decay,Surveying Special Lagrangian Instantons at SNO
Cargese Lectures on Brane Induced Gravity,Argyres Conditions in a Nonperturbative NCFT Deformed by 1/m-BPS D-terms Are Multidimensional
A Field Theory Model With a New Lorentz-Invariant Energy Scale,Melonic Diagrams Are Nonperturbative
Differential Geometrical Formulation of Gauge Theory of Gravity,Feynman Diagrams on P^4 Revisited
Detailed Design of a Resonantly-enhanced Axion-photon Regeneration Experiment,Models of Tensor Networks and Worldsheet Symmetric Boltzmann Conditions
"Possible Z-width Probe of a ""Brane-world"" Scenario for Neutrino Masses",Squarks
Greybody Factors for Brane Scalar Fields in a Rotating Black-Hole Background,A Singular Condensate Formulation of Topological String Theory Supported on AdS_n vs Nontrivial Verlinde-Heisenberg Points
Measuring Smuon-Selectron Mass Splitting at the LHC and Patterns of Supersymmetry Breaking,"Metrics on a Dih_m Quotient of R^m, Special Lagrangian Instantons at the Weak Scale, and Quintessence in Our Solar System"
Renormalization of the Nonequilibrium Dynamics of Fermions in a Flat FRW Universe,Generalizing F-Theory Near Firewalls and the Technicolor/NNNMSSM Correspondence
Scenarios About the Long-time Damage of Silicon as Material and Detectors Operating Beyond LHC Collider Conditions,Considering Perturbation Theory on N Copies of R^n: Instantons at the Center of the Galaxy
$K_L O Pi^0 E^+ E^-$ and $B O X_s Ell^+ Ell^-$ Decay in the MSSM,A Cosmon Reduction of Type IIA on the Moduli Space of N Copies of P^n X P^m in a Probe of N=n Supergravity on AdS_m Fibered Over Squashed Taub-NUT Space
Discrete Spectra of Semirelativistic Hamiltonians From Envelope Theory,"The N=n Supergravity/QCD_3 Correspondence, Higgs Points on P^m, and N=5 QFTs Near a Firewall"
Multiple-Trace Operators and Non-Local String Theories,Bounding Surface Defects at the Edge of Our Universe: An Impossible Analytic Continuation of Jackiw-Teitelboim Gravity With Abelian Superpotential Near a Massive Black Brane Formed From Collapse
Thermodynamic Bethe Ansatz and Threefold Triangulations,Classifying a Solution of N-dimensional CFTs
"B_{s,d} O Gammagamma Decay in the Model With One Universal Extra Dimension",The Reduction of Charges in Models of Kaons and Symplectic Quotients in Heterotic String Theory Dimensionally Reduced on M Copies of R^4
Supersymmetric Vacua of Mass-deformed M2-brane Theory,Symplectic Quotients on CY_n as Magnon Mixing in Higgs RS1
D3-brane Potentials From Fluxes in AdS/CFT,Feynman Diagrams in an Adjoint CFT on the NUT of the Near Horizon Geometry of dS_3
Next to Leading Order Analysis of Semi-Inclusive DIS,A Probe of a Check of T-duality in the SYK Model via Gromov-Witten Invariants on the Near Horizon Geometry of CY_n via Magnetic-duality in Nonlocal Models of Cosmic Rays Implemented via Feynman Diagrams
The Nonperturbative Decay of SUSY Flat Directions,Integrability in Bosonic Strings on Elliptically-fibered Lens Spaces vs a Check of an Extra-ordinary Compactification of Inflaton Quantum Hadronic RS1
Self-induced Parametric Resonance in Collective Neutrino Oscillations,"Some Little-known Investigations of Tensor Networks During Inflation, Supersymmetric NCFTs Compactified on C^m, and Some Novel Frameworks of Scattering Amplitudes"
Nonequilibrium Field Theory From the 2PI Effective Action,The Solution of Type IIA Strings Living on C^m X CY_4 X AdS_n X P^m
Electroweak Supersymmetric Effects on High Energy Unpolarized and Polarized Single Top Production at LHC,Sheaf Cohomology
Infrared Renormalons and Single Meson Production in Proton-proton Collisions,Equivariant Quasimodular Forms
Higher Order Spin-dependent Terms in D0-brane Scattering From the Matrix Model,Gravitational-duality in Models of Quintessence
$K^0 $ Decays Into Three Photons,Towards the Parent Ising Model
Boson Mapping in Field Theory,Non-abelian Representation Theory
"Possible Tests of the ""Strangeness"" of the Nucleon",Instantons in Our Solar System
Limiting SUSY-QCD Spectrum and Its Application for Decays of Superheavy Particles,Sheaf Cohomology on Lens Spaces
Magnetic Symmetries and Vortices in Chern-Simons Theories,The World as the Beta Function
Nuclear Dependence of Structure Functions in Coordinate Space,Nontrivial Metrics
Complete Solution for M(atrix) Theory at Two Loops,Intrilligator and Me
Dynamically Generated Resonances,Solving Tensor Networks in Our Solar System
Phenomenological Model of the Weak Interaction,Flow Equations on an Affine Bundle Over C^4 Bundles Over dS_n X AdS_m Predicted Using \Z^n Characters
GENIUS - a Supersensitive Germanium Detector System for Rare Events,Some Little-known Cases of a Feynman-Polyakov Singularity
Nondecoupling Effects of Heavy Higgs Particles in Two Higgs Doublet Model,New Approaches to the SUSY CP Problem
Supergravity and the Jet Quenching Parameter in the Presence of R-charge Densities,A Probe of Geometric Langlands-duality in Topological Strings Deformed by Continuous-spin D-terms (Including Unitarity on a Linear Dilaton Background) Using Integration Cycles on the Near Horizon Geometry of the Moduli Space of Moduli Spaces of G_2 Quotients of Moduli Spaces of Moduli Spaces of Linear Dilaton Backgrounds of \Z_n Holonomy Reexamined
Question on the Existence of Gravitational Anomalies,Divisors in Bosonic Strings Are Spontaneous
Present Status of Inclusive Rare B Decays,Geometric Langlands-duality in Chiral CFTs Living on N Copies of CY_n as Anomalous Dimensions
W-infinity Field Theories for the Edge Excitations in the Quantum Hall Effect,Flow Equations on Line Bundles Over an ALF Space With Nontrivial Fundamental Group
Associated Production of CP-odd and Charged Higgs Bosons at Hadron Colliders,String Theories
Supergravity With a Gravitino LSP,Firewalls and Large Logarithms in Unparticle Physics
Analytic Solution of Ground State for Coulomb Plus Linear Potential,"Studying Heterotic Strings in the Presence of Orientifold Planes: Neutralino Collisions in JT Gravity With Hyperplane Operators Compactified on Riemann Surfaces of H_m(S^7,\Z) Holonomy"
Confining Phase of Three Dimensional Supersymmetric Quantum Electrodynamics,The Geometric Langlands-dual of Type IIA Strings Surrounded by Black Holes
Supersymmetry Breaking With Zero Vacuum Energy in M-Theory Flux Compactifications,The Extension of Type IIA Strings on Anti De Sitter Space Maximizes a Probe of a Black Brane Formed From Collapse Using Some Little-known Examples of Higgses (Taking Into Account Anomalies)
Measurement of Lambda and Lambda-bar Polarization in Muon Neutrino Charged Current Interactions in NOMAD,Line Bundles in WZW QFTs on the Near Horizon Geometry of the Boundary of AdS_n and Vortices on R^7 Fibered Over a Lens Space
Standard Model With Duality: Physical Consequences,Anomalous Dimensions vs a Probe of a Prediction of the Formulation of Gromov-Witten Invariants in Models of Gluons From Condensates at N Loops (Excluding a Computation of S-duality in Heterotic Strings ) Using Black Branes at the Edge of Our Universe
R-symmetry and Supersymmetry Breaking at Finite Temperature,CERN Winter School Lectures on a Solution to the Typical State Problem
The Asymptotic Behaviour of the $Pi^0$ $Gamma^ast$ $Gamma^ast$ Vertex,Progress in Semidefinite Programming in Supergravity With a Doublet N-form Supported on the Near Horizon Geometry of P^m
On the Scale of Visible Jets in High Energy Electron-Positron Collisions,Type IIA as Anomaly Matching on Anti De Sitter Space
Brane Networks in AdS Space,Instantons on the Surface of the Sun Are Inconsistent
Pair Production of Neutralinos via Photon-photon Collisions,PIPT Lectures on a Reduction of Hyperkahler Quotients in the B-model
Knots and Matrix Models,Bounding the Shadow Formalism: A N-dimensional Procedure
Realisations of $W_3$ Symmetry,From Integration Cycles in Toda NCFTs to Some Novel Investigations of a Schwarzschild Black Hole at $\Lambda_{QCD}$
"Strangeness, Equilibration, Hadronization",Reconstructing Models of Bubble Nucleation: A Novel Conjecture
Super Elliptic Curves,Quantum Approaches to the Strong CP Problem
Pyrotechnic Universe,Some Specific Investigations of Condensates to All Orders
Jet Production Cross Section With Double Pomeron Exchange,"Orientifold Planes at the Intermediate Scale, Heterotic String Theory, and Geometric Langlands-duality in Models of Dark Matter"
"Tenth-Order Lepton Anomalous Magnetic Moment -- Second-Order Vertex Containing Two Vacuum Polarization Subdiagrams, One Within the Other",CERN Winter School Lectures on Vanishing Hilbert Schemes
The Two-Dimensional O(2) Model on a Random Planar Lattice at Strong Coupling,Bubbles at the Weak Scale
Geometric Scaling of $F_2$ and $F_2^c$ in Data and QCD Parametrisations,On Particle Fluctuations at the Edge of Our Universe
Is a Coherent Picture of Massive Neutrinos Emerging?,Abelian Unitarity
Kaluza--Klein Excitations of Gauge Bosons at the LHC,A Certain Notion of Duality
F-theory and Neutrinos: Kaluza-Klein Dilution of Flavor Hierarchy,Gravitational Waves as an Instanton at the Stretched Horizon
Nucleon Matrix Elements of Twist-3 and 4 Operators From the Instanton Vacuum,Nonvanishing Holographic-dualities Reconsidered
Closed Conformal Killing-Yano Tensor and Kerr-NUT-de Sitter Spacetime Uniqueness,Mathematica School Lectures on Instantons
Nucleosynthesis and the Mass of the Tau Neutrino,Gromov-Witten Invariants on Enriques Surfaces With Nonvanishing Spin Structure From Geometric Transitions
Quantum-electrodynamic Model of the Finite-size Electron and Calculation of the Fine-structure Constant,S-duality in String Theories Compactified on an E_6 Quotient of CY_m vs Chaos on Taub-NUT Space
Relating Black Holes in Two and Three Dimensions,Constructing Type IIB Living on M Copies of P^m: Central Charges in Superconformal Matrix Models
Triviality Bounds in the Next to Minimal Supersymmetric Standard Model,Evaluating a Model for Dark Energy
Towards Cohomology of Renormalization: Bigrading the Combinatorial Hopf Algebra of Rooted Trees,Cargese Lectures on Backgrounds in F-Theory Supported on P^m
Radiative Decays of Light Vector Mesons in a Quark Level Linear Sigma Model,PDFs in Next-to-leading Left-right Models of Bubbles Are General
Quantization of the First-Order Two-Dimensional Einstein-Hilbert Action,The Formulation of Quantum Dynamics in Dions
Transversity in Exclusive and Inclusive Processes,A_9 Singularities Realized Using Donaldson-Witten Invariants
Integrability as Effective Principle of Nonperturbative Field and String Theories,The Lithium Problem
Tree Level Gravity - Scalar Matter Interactions in Analogy With Fermi Theory of Weak Interactions Using Only a Massive Vector Field,Index Theorems in Type IIA Strings on Sp(m) Orbifolds of Hyper-Kahler Lens Spaces
Supergravity in Two Spacetime Dimensions,Towards Black Branes Formed From Collapse at the Edge of Our Universe
Branes in Special Holonomy Backgrounds,N-point Correlators in Models of Electrons vs Geometric Langlands-duality in Models of Dark Matter
Noncommutative Radial Waves,Progress in a Measurement of Perturbation Theory via an Analytic Continuation of Quasimodular Forms in Heterotic String Theory
Precision Physics With a Wide Band Super Neutrino Beam,Chaos on RS1 Backgrounds With Trivial Connection
Study of Scalar Top Quarks at a Future E+e- Linear Collider,From Black Branes at the Weak Scale to Effects of Entanglement Negativity
"Direct, Indirect and Collider Detection of Neutralino Dark Matter in SUSY Models With Non-universal Higgs Masses",Lifschitz and Me
Soft-Gluon Resummation for Bottom Fragmentation in Top Quark Decay,From the Analytic Continuation of String Theories Living on the Near Horizon Geometry of the Near Horizon Geometry of Superspace Fibered Over dS_n X P^m X T^m to the Reduction of Toda Matrix Models
Target Mass Effects in Polarized Virtual Photon Structure Functions,A Probable Approach to the Strong CP Problem
Fundamental CP-violating Quantities in a SU(2)$ Øtimes $U(1) Model With Many Higgs Doublets,M-point Correlators
Multiscale Technicolor and $B O S Gamma$,CERN Winter School Lectures on a Minimal Extension of N=4 Matrix Models Dimensionally Reduced on C^n
Can Radiative Correction Cause Large Neutrino Mixing?,Dions as Metastable Models With Anyons
Extra Dimensions and Varying Alpha,An Extension of Duality in String Theories Living on T^1 and E_8 Fluctuations in the CMB
Quest for Localized 4-D Black Holes in Brane Worlds. II : Removing the Bulk Singularities,T-duality in Jackiw-Teitelboim Gravity
G-function Flow in Perturbed Boundary Conformal Field Theories,A Resolution of the Naturalness Problem as Decay Constants in M-Theory Surrounded by Line Defects
Blowing Up Feynman Integrals,From Superconformal NCFTs Supported on Symmetric Spaces With General H-flux to T-duality in Perturbative Matrix Models Deformed by Surface Operators
"Open Strings in the SL(2,R) WZWN Model With Solution for a Rigidly Rotating String",Models of Instanton Liquids
Final-state Interaction Phase Difference in $J/psi O Hoeta$ and $Ømegaeta$ Decays,A Two-sided Black Hole Formed From Collapse at N Loops as Cosmic Rays in the Early Universe
The Total Cross Section at the LHC,A Resolution of the Strong CP Problem
Local Recoil of Extended Solitons: A String Theory Example,Formulating Causality Constraints in Seesaw Models
"Quantum Symmetry, the Cosmological Constant and Planck Scale Phenomenology",Firewalls
Doubly Charged Higgs Bosons and Three-lepton Signatures in the Higgs Triplet Model,"A Model of Tensor Networks, Perturbative QFTs Near a Noncommutative Brane Wrapping a C^8, and the Cosmic Coincidence Problem"
Discovery Potential of Radiative Neutralino Production at the ILC,The Seiberg-dual of Deformed TQFTs Deformed by Chern-Simons Terms Realized via Integrable Hierarchies
Properties of Heterotic Vacua From Superpotentials,Instantons
A Pendant for Polya: The One-Loop Partition Function of N=4 SYM on R X S^3,A Test of the Cosmological Constant Problem
Beyond the Standard Model in Many Directions,A Measurement of the Lithium Problem From Fragmentation Functions as the Isocurvature Compactification of JT Gravity Surrounded by an Instanton
Current Status of Radiative B Decays,Towards Nonvanishing Representation Theory
A Note on the Radiatively Induced Lorentz and CPT Violated Chern-Simons-like Term in the Extended Quantum Electrodynamics,N-point Correlators in Quadratic Inflation
LINEAR CONNECTIONS ON EXTENDED SPACE-TIME,Dual-superconformal Symmetric Modular Forms
Six Dimensional Topological Gravity and the Cosmological Constant Problem,Sheaf Cohomology Revisited
Scattering of String-waves on Black Hole Background,Better Approaches to the SUSY CP Problem
Pi and PiPi Decays of Excited D Mesons,Verlinde-Politzer Points in Type IIB
Non-Abelian Chern-Simons Particles and Their Quantization,The Solution to the LHC Inverse Problem
Neutrino Production States in Oscillation Phenomena - Are They Pure or Mixed?,The Supergravity/Jackiw-Teitelboim Gravity Correspondence
Shadow Multiplets and superHiggs Mechanism,Progress in a Surface Defect
Integral Transforms for Conformal Field Theories With a Boundary,First-order Unparticle Physics Implemented via Flow Equations
The Hadronic Light-by-Light Contribution to Muon G-2: A Short Review,Semidefinite Programming in Type IIB Deformed by Chern-Simons Terms
Phenomenology of Non-Abelian Flat Directions in a Minimal Superstring Standard Model,The Typical State Problem
Improved Test of Lorentz Invariance in Electrodynamics,Progress in High-scale Fluctuations at the Center of the Galaxy
Symplectic Quantization of Self-dual Master Lagrangian,A Seiberg-dual of Models of Leptons
"Vortex Loop Operators, M2-branes and Holography",Chaos on a SU(9) Orbifold of Superspace and Instanton Liquids During Inflation
Calculating Gluino Condensates in $mathcalN=1$ SYM From Seiberg-Witten Curves,Classifying F-Theory on the Horizon of CY_n and Surveying Unparticle Physics With Adjoint Scalars
Calibrations on Spaces With GxG-structure,An Orientifold Plane
The Electroweak Phase Transition in Nearly Conformal Technicolor,Nonvanishing Divisors and Some Little-known Frameworks of an A-type Brane Probe After Reheating
QCD Corrections to the Decay $H^+ O St \Bar{sb}$ in the Minimal Supersymmetric Standard Model,"A Black Brane, a Hyperplane Defect After Reheating, and Examples of the Lightcone Limit"
Hybrid Textures of Neutrino Mass Matrix,Type I Strings Dimensionally Reduced on S^m as the Formulation of Representation Theory in Exclusive Models With Charginos (Involving QCD_3 With Gauge Group F_4 )
"QCD: Questions, Challenges, and Dilemmas",Cosmic Rays at 4 Loops vs a Probe of a Model for Non-multi-field Fluctuations via the Formulation of Modular Forms in GR Dimensionally Reduced on Harmonic Calabi-Yau N-folds
Scalar Susceptibility in QCD and the Multiflavor Schwinger Model,The Second-order Law in Models of Relativistic Positrons and Instanton Liquids After Reheating
Isospin Breaking in Pion-nucleon Scattering at Threshold by Radiative Processes,The OPE of Loop Operators and Tensor Networks After Reheating
Wigner's Little Group as a Gauge Generator in Linearized Gravity Theories,Generalizing Leptons: Considering QFTs
Penguin Enhancement and $B O Kpi$ Decays in Perturbative QCD,From Chaos in a Perturbative Matrix Model in the Presence of an Orientifold Plane to Sleptons
Thermodynamics of Fuzzy Spheres in PP-wave Matrix Model,The CP6 Model/T^n Correspondence
Correlators in Timelike Bulk Liouville Theory,Bounding Dual-superconformal Symmetric Quasimodular Forms: Chiral Matrix Models
Eikonal Evolution and Gluon Radiation,Simple Models With Anyons From a Warm Inflationary Reduction of Topological Strings Far From an Instanton
New Conformal Gauging and the Electromagnetic Theory of Weyl,General Relativity
Non-minimal Maxwell-Modified Gauss-Bonnet Cosmologies: Inflation and Dark Energy,A Test of Seiberg-duality in a QED Model for G_2 Fluctuations and Hypersurface Defects
Spacetime Duality and Two-dimensional Gauge Field Theory,Conformal Blocks on an Einstein 3-manifold Discovered From Integrable Hierarchies
"Comment on André Martin: ""Can One Improve the Froissart Bound?"" (arXiv:0812.0680)",On Black Holes Formed From Collapse
Lorentz Invariance and Confined Noncommutativity,Comments on Superconvergence Sum Rules
Current Algebra Approach to Heavy Top Effects in $Z Ightarrow B+ \Barb$,A Primordial Formulation of Supergravity on T^n
Contraction and Decomposition Matrices for Vacuum Diagrams,Evaluating a Prediction of Halo Unbroken Poincare Symmetric Inertial Gauge Mediation From an Unparticle Hierarchy
SUSY Unparticle and Conformal Sequestering,Dark Energy in the Early Universe (Taking Into Account Thermodynamics)
"Evading 1/m_b-suppressed IR Divergencies in QCDF: Bs-->KK Decays and B_{d,s} Mixing",A Certain Notion of Harmonic Analysis
Erice Lectures on Black Holes and Attractors,Automorphic Forms in String Theories Near a Fat Black Brane
The Approach to Thermalization in the Classical Phi^4 Theory in 1+1 Dimensions: Energy Cascades and Universal Scaling,The World as B-meson Production
Surprises in Open-String Perturbation Theory,Some Specific Examples of Heterotic String Theory Deformed by Surface Operators
A Remark on the High--energy Quark--quark Scattering and the Eikonal Approximation,Some Novel Cases of a Test of a Model of Spacetime Foam
The Casimir Effect for a Massless Spin-3/2 Field in Minkowski Spacetime,Condensates After Reheating
Higgs Sector Motivations for an E-minus E-minus Linear Collider,Constructing Gerbs in Type IIA on a Manifold: A Superconformal Conjecture
Electroweak Radiative Corrections to W and Z Boson Production at Hadron Colliders,Heavy Ions
Coherent Exclusive Exponentiation for Precision Monte Carlo Calculations,Models of Light Ghosts
Negative Even Grade mKdV Hierarchy and Its Soliton Solutions,Chargino Mixing in Topological Strings
Effects of Conversions for High Energy Neutrinos Originating From Cosmological Gamma-ray Burst Fireballs,Condensates at $\Lambda_{QCD}$ as a Fractional D7 Brane Probe in the Early Universe
Particle-accelerator Constraints on Isotropic Modifications of the Speed of Light,Equivariant Structure on M Copies of P^n vs the Mu/B_mu Problem
Strange-Quark Vector Current Pseudoscalar-Meson Transition Form Factors,Physical Approaches to the LHC Inverse Problem
The FZZ-Duality Conjecture - a Proof,Clarifying the Holographic Schwartzian Theory in Hybrid Inflation at $\Lambda_{QCD}$
Gauge Invariant Effective Potential for Abelian Maxwell-Chern-Simons Systems,Electrons Revisited
"Liouville Field Theory Coupled to a Critical Ising Model: Non-perturbative Analysis, Duality and Applications",Bulk Models of Bubbles
Jet Energy Loss in the Quark-gluon Plasma by Stream Instabilities,Models of Soft Particles as a Canonical Co-isotropic Instanton
Can Y(4140) Be a $C \Bar C S \Bar S$ Tetraquark ?,Reading Between the Lines of the Solution of an Invertible Soft-Collinear Effective Theory Deformed by 1/n-BPS Operators
Non-perturbative 3d Lorentzian Quantum Gravity,Surveying Stable Processes: A Tachyonic Formalism
Darboux Transformation of Boundary Conditions of Regular Dirac Sturm--Liouville Problem,Discrete Path Integrals
Black Hole Partition Functions and Duality,On Models of Solitons
Medium-induced Radiative Energy Loss; Equivalence Between the BDMPS and Zakharov Formalisms,General Causality
Small Steps and Giant Leaps in the Landscape,Supersymmetric Soft-Collinear Effective Theories Supported on the NUT of the Near Horizon Geometry of CY_m
N=4 SYM on R X S^3 and Theories With 16 Supercharges,QED_3 on S^9
Associated Production of Sfermions and Gauginos at High-energy $E^+e^-$ Colliders,Broken Diffeomorphism Symmetric Structures on Symplectic Linear Dilaton Backgrounds
Excited Baryon Decay Widths in Large N_c QCD,A Compactification of Nahm's Equations in Models of Squarks
The One-loop QED in Noncommutative Space,The Non-calculable XXZ Model Maximizes Sheaf Cohomology in Bosonic Strings on S^m X P^4
All the Exact Solutions of Generalized Calogero-Sutherland Models,The Gravitational-dual of Hydrodynamics as the Reduction of Path Integrals in an Adjoint NCFT Far From a Hyperplane Defect
Glueball Production in Peripheral Heavy-Ion Collisions,Models of Bubbles
Radiative Decays of Excited $Lambda_Q$ Baryons in the Bound State Picture,On the Black-hole Information Problem
Some New Solutions of Yang-Baxter Equation,"The Solution of Curvaton Gravity (Including Black Instantons at the Center of the Galaxy), a Canonical Singularity, and a Measurement of Harmonic Analysis in String Theory"
Study of S-channel Charged Higgs Production in CMS,A Solution of Perturbation Theory in WIMP Models for Instanton Liquids
"Light-Quark, Heavy-Quark Systems: An Update",Solving Small Black Branes at the Tevatron: A Nonstandard Procedure
